icc_match_id,match_date,match_time,home_team,away_team,match_name,tournament_name,match_type,innings_count,hawkeye_link
641,2013-04-20,20:00,Royal Challengers Bangalore,Rajasthan Royals,ipl2013-27,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/641/uds/traj
642,2013-04-21,16:00,Delhi Daredevils,Mumbai Indians,ipl2013-28,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/642/uds/traj
643,2013-04-21,20:00,Kings XI Punjab,Pune Warriors India,ipl2013-29,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/643/uds/traj
644,2013-04-22,20:00,Chennai Super Kings,Rajasthan Royals,ipl2013-30,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/644/uds/traj
645,2013-04-23,16:00,Royal Challengers Bangalore,Pune Warriors India,ipl2013-31,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/645/uds/traj
646,2013-04-23,20:00,Delhi Daredevils,Kings XI Punjab,ipl2013-32,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/646/uds/traj
647,2013-04-24,20:00,Kolkata Knight Riders,Mumbai Indians,ipl2013-33,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/647/uds/traj
648,2013-04-25,20:00,Chennai Super Kings,Sunrisers Hyderabad,ipl2013-34,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/648/uds/traj
649,2013-04-26,20:00,Kolkata Knight Riders,Kings XI Punjab,ipl2013-35,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/649/uds/traj
650,2013-04-27,16:00,Rajasthan Royals,Sunrisers Hyderabad,ipl2013-36,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/650/uds/traj
652,2013-04-27,20:00,Mumbai Indians,Royal Challengers Bangalore,ipl2013-37,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/652/uds/traj
653,2013-04-28,16:00,Chennai Super Kings,Kolkata Knight Riders,ipl2013-38,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/653/uds/traj
654,2013-04-28,20:00,Delhi Daredevils,Pune Warriors India,ipl2013-39,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/654/uds/traj
655,2013-04-29,16:00,Rajasthan Royals,Royal Challengers Bangalore,ipl2013-40,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/655/uds/traj
656,2013-04-29,20:00,Mumbai Indians,Kings XI Punjab,ipl2013-41,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/656/uds/traj
657,2013-04-30,20:00,Pune Warriors India,Chennai Super Kings,ipl2013-42,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/657/uds/traj
659,2013-05-01,20:00,Delhi Daredevils,Kolkata Knight Riders,ipl2013-44,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/659/uds/traj
658,2013-05-01,16:00,Sunrisers Hyderabad,Mumbai Indians,ipl2013-43,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/658/uds/traj
660,2013-05-02,16:00,Chennai Super Kings,Kings XI Punjab,ipl2013-45,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/660/uds/traj
